OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude
492,10131,DECIDUOUS,Quercus,muehlenbergii,,Chinkapin Oak,4,8,40.00889718,-105.2726606
493,10132,DECIDUOUS,Quercus,muehlenbergii,,Chinkapin Oak,4,10,40.0089139,-105.2725827
494,10134,DECIDUOUS,Quercus,robur,,English Oak,38,46,40.00887324,-105.2722448
495,10290,DECIDUOUS,Acer,platanoides,,Norway Maple,10,29,40.00957253,-105.2753615
496,10296,CONIFEROUS,Picea,pungens,,Blue Spruce,18,50,40.00909551,-105.2701653
497,10324,DECIDUOUS,Crataegus,,,Hawthorne,18,20,40.01005014,-105.2759186
498,10332,DECIDUOUS,Acer,saccharinum,,Silver Maple,40,50,40.00999131,-105.2754009
499,10349,DECIDUOUS,Crataegus,,,Hawthorne,20,25,40.01032985,-105.2750267
500,10355,DECIDUOUS,Quercus,muehlenbergii,,Chinkapin Oak,6,15,40.01005338,-105.2752884
501,10466,CONIFEROUS,Picea,pungens,,Blue Spruce,20,61,40.00952949,-105.2759784
502,10726,DECIDUOUS,Fraxinus,americana,,White Ash,35,65,40.00906019,-105.2745999
503,10730,DECIDUOUS,Fraxinus,americana,,White Ash,20,35,40.00908428,-105.2743629
504,10731,DECIDUOUS,Fraxinus,americana,,White Ash,20,50,40.00909985,-105.2745593
505,10737,DECIDUOUS,Fraxinus,americana,,White Ash,30,40,40.00939124,-105.2739615
506,10745,DECIDUOUS,Fraxinus,americana,,White Ash,20,50,40.00938711,-105.2741214
507,10753,DECIDUOUS,Fraxinus,americana,,White Ash,15,30,40.00941468,-105.2743191
508,10757,DECIDUOUS,Fraxinus,americana,,White Ash,18,30,40.00972261,-105.2739897
509,10759,DECIDUOUS,Fraxinus,americana,,White Ash,20,35,40.00994441,-105.2739111
510,10760,DECIDUOUS,Fraxinus,americana,,White Ash,18,30,40.01001879,-105.27459
511,10769,DECIDUOUS,Fraxinus,americana,,White Ash,20,50,40.00932682,-105.2743807
512,10784,DECIDUOUS,Fraxinus,americana,,White Ash,10,30,40.01004571,-105.2742277
513,10790,DECIDUOUS,Fraxinus,americana,,White Ash,12,30,40.01009862,-105.2739976
514,10792,DECIDUOUS,Fraxinus,americana,,White Ash,12,30,40.01011985,-105.2739994
515,10794,DECIDUOUS,Fraxinus,americana,,White Ash,40,45,40.01002142,-105.2738204
516,10826,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,20,30,40.01032587,-105.2732593
517,10831,DECIDUOUS,Fraxinus,americana,,White Ash,20,30,40.01029578,-105.2734314
518,11186,DECIDUOUS,Malus,,,Apple,22,24,40.0077456,-105.2724639
519,11208,CONIFEROUS,Picea,pungens,,Blue Spruce,20,82,40.00779476,-105.2722795
520,11209,CONIFEROUS,Picea,pungens,,Blue Spruce,12,27,40.00775015,-105.2722847
521,11674,CONIFEROUS,Abies,concolor,,White Fir,8,20,40.0090256,-105.2720001
522,11625,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,35,50,40.00925386,-105.2745315
523,12338,CONIFEROUS,Pinus,flexilis,,Limber Pine,25,67,40.01033072,-105.2721927
524,12341,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,20,67,40.01029811,-105.2724798
525,12367,DECIDUOUS,Quercus,muehlenbergii,,Chinkapin Oak,5,10,40.00950272,-105.2722255
526,12417,CONIFEROUS,Juniperus,,,Juniper,20,45,40.00963331,-105.2729074
